,name,title_clean,revenues_clean,gross_profit,costs_clean
2899,Jacki Weaver,Silver Linings Playbook,236400000.0,97200000.0,21000000.0
3129,Jacki Weaver,Parkland,1412181.0,-9293909.5,10000000.0
3169,Jacki Weaver,Stoker,12100000.0,-5950000.0,12000000.0
3301,Jacki Weaver,Magic in the Moonlight,51000000.0,8700000.0,16800000.0
3393,Jacki Weaver,The Voices,444196.0,-10777902.0,11000000.0
2103,Paul McGill,Fame,77184633.0,20592316.5,18000000.0
93,Tommy Tiny Lister Jr,Little Nicky,58300000.0,-55850000.0,85000000.0
115,Tommy Tiny Lister Jr,Next Friday,59800000.0,18900000.0,11000000.0
3587,Cara Delevingne,Suicide Squad,745600000.0,197800000.0,175000000.0
41,Tyra Banks,Coyote Ugly,113900000.0,11950000.0,45000000.0
493,Tyra Banks,Halloween: Resurrection,37600000.0,5800000.0,13000000.0
194,Susan Barnes,Where the Money Is,7243669.0,-24378165.5,28000000.0
1740,Denis Lavant,Mr. Lonely,393813.0,-8003093.5,8200000.0
1356,Julie Kavner,Click,237700000.0,36350000.0,82500000.0
1792,Julie Kavner,The Simpsons Movie,527900000.0,188950000.0,75000000.0
3047,Dave Holmes,Hell Baby,8785.0,-2495607.5,2500000.0
2828,Werner Herzog,Jack Reacher,218300000.0,49150000.0,60000000.0
1018,Omar Benson Miller,Shall We Dance?,170100000.0,35050000.0,50000000.0
1149,Omar Benson Miller,Get Rich or Die Tryin',46400000.0,-16800000.0,40000000.0
1948,Omar Benson Miller,Miracle at St. Anna,9300000.0,-40350000.0,45000000.0
2465,Omar Benson Miller,The Sorcerer's Apprentice,215300000.0,-42350000.0,150000000.0
1858,Sergio Castellitto,The Chronicles of Narnia: Prince Caspian,419700000.0,-15150000.0,225000000.0
2199,Sho Kosugi,Ninja Assassin,61600000.0,-9200000.0,40000000.0
2956,Tia MowryHardrict,Baggage Claim,22456509.0,2728254.5,8500000.0
3426,Oona Chaplin,The Longest Ride,64944815.0,-1527592.5,34000000.0
436,John Cho,Better Luck Tomorrow,3800000.0,1650000.0,250000.0
939,John Cho,Harold & Kumar Go to White Castle,23900000.0,2950000.0,9000000.0
1908,John Cho,Harold & Kumar Escape from Guantanamo Bay,43500000.0,9750000.0,12000000.0
2235,John Cho,Star Trek,385700000.0,42850000.0,150000000.0
2706,John Cho,A Very Harold & Kumar 3D Christmas,35400000.0,-1300000.0,19000000.0
2733,John Cho,American Reunion,235000000.0,67500000.0,50000000.0
2922,John Cho,Total Recall,198500000.0,-25750000.0,125000000.0
3167,John Cho,Star Trek Into Darkness,467400000.0,48700000.0,185000000.0
3578,John Cho,Star Trek Beyond,343500000.0,-13250000.0,185000000.0
2545,Bob Sapp,Conan the Barbarian,48800000.0,-65600000.0,90000000.0
3416,Brian Bosworth,Do You Believe?,14400000.0,4900000.0,2300000.0
1309,Jonah Hill,Accepted,38500000.0,-3750000.0,23000000.0
1654,Jonah Hill,Evan Almighty,173400000.0,-88300000.0,175000000.0
1805,Jonah Hill,Superbad,169900000.0,64950000.0,20000000.0
2009,Jonah Hill,Strange Wilderness,6900000.0,-16550000.0,20000000.0
2116,Jonah Hill,Funny People,71600000.0,-39200000.0,75000000.0
2157,Jonah Hill,The Invention of Lying,32700000.0,-2150000.0,18500000.0
2314,Jonah Hill,Cyrus,9931520.0,-2034240.0,7000000.0
2350,Jonah Hill,Get Him to the Greek,91300000.0,5650000.0,40000000.0
2367,Jonah Hill,How to Train Your Dragon,494900000.0,82450000.0,165000000.0
2414,Jonah Hill,Megamind,321800000.0,30900000.0,130000000.0
2635,Jonah Hill,Moneyball,110200000.0,5100000.0,50000000.0
2675,Jonah Hill,The Sitter,34900000.0,-7550000.0,25000000.0
2722,Jonah Hill,21 Jump Street,201500000.0,45750000.0,55000000.0
2929,Jonah Hill,The Watch,68300000.0,-33850000.0,68000000.0
3176,Jonah Hill,This Is the End,126000000.0,31000000.0,32000000.0
3195,Jonah Hill,The Wolf of Wall Street,392000000.0,96000000.0,100000000.0
3277,Jonah Hill,22 Jump Street,331300000.0,81150000.0,84500000.0
3279,Jonah Hill,How to Train Your Dragon 2,621500000.0,165750000.0,145000000.0
3503,Jonah Hill,"Hail, Caesar!",63600000.0,9800000.0,22000000.0
3590,Jonah Hill,Sausage Party,140700000.0,51350000.0,19000000.0
3594,Jonah Hill,War Dogs,86200000.0,3100000.0,40000000.0
933,Shigeru Izumiya,Godzilla: Final Wars,12000000.0,-13500000.0,19500000.0
2216,Peter Bartlett,The Princess and the Frog,267000000.0,28500000.0,105000000.0
59,Busta Rhymes,Finding Forrester,80049764.0,-2975118.0,43000000.0
536,Busta Rhymes,Narc,12600000.0,-200000.0,6500000.0
1431,Neil Flynn,Hoot,8224998.0,-10887501.0,15000000.0
2690,Riley Griffiths,Super 8,260100000.0,80050000.0,50000000.0
1921,Rafi Gavron,Inkheart,62450361.0,-28774819.5,60000000.0
2109,Bobby Campo,The Final Destination,186200000.0,53100000.0,40000000.0
336,Michael Constantine,My Big Fat Greek Wedding,368700000.0,179350000.0,5000000.0
3527,Michael Constantine,My Big Fat Greek Wedding 2,88900000.0,26450000.0,18000000.0
2598,Dagmara Domiczyk,Higher Ground,844330.0,-1377835.0,1800000.0
89,Anne Bancroft,Keeping the Faith,59900000.0,950000.0,29000000.0
281,Anne Bancroft,Heartbreakers,57756408.0,-6121796.0,35000000.0
1875,Anne Bancroft,Delgo,915840.0,-39542080.0,40000000.0
3475,Alex Garfin,The Peanuts Movie,246200000.0,24100000.0,99000000.0
1760,Scott Patrick Green,Paranoid Park,4500000.0,-750000.0,3000000.0
146,Breckin Meyer,Road Trip,119800000.0,43900000.0,16000000.0
304,Breckin Meyer,Kate & Leopold,76019048.0,-9990476.0,48000000.0
361,Breckin Meyer,Rat Race,85500000.0,-5250000.0,48000000.0
929,Breckin Meyer,Garfield: The Movie,200800000.0,50400000.0,50000000.0
1162,Breckin Meyer,Herbie: Fully Loaded,144100000.0,22050000.0,50000000.0
1249,Breckin Meyer,Rebound,17500000.0,-24350000.0,33100000.0
