,total_rev,total_profit,count,title_names,total_budget,name,return
Jacki Weaver,301356377.0,79878188.5,5,Silver Linings Playbook**Parkland**Stoker**Magic in the Moonlight**The Voices**,70800000.0,Jacki Weaver,1.12822300141
Paul McGill,77184633.0,20592316.5,1,Fame**,18000000.0,Paul McGill,1.14401758333
Tommy Tiny Lister Jr,118100000.0,-36950000.0,2,Little Nicky**Next Friday**,96000000.0,Tommy Tiny Lister Jr,-0.384895833333
Jemima West,90600000.0,-14700000.0,1,The Mortal Instruments: City of Bones**,60000000.0,Jemima West,-0.245
Tyra Banks,151500000.0,17750000.0,2,Coyote Ugly**Halloween: Resurrection**,58000000.0,Tyra Banks,0.306034482759
Susan Barnes,7243669.0,-24378165.5,1,Where the Money Is**,28000000.0,Susan Barnes,-0.870648767857
Denis Lavant,393813.0,-8003093.5,1,Mr. Lonely**,8200000.0,Denis Lavant,-0.975987012195
Julie Kavner,765600000.0,225300000.0,2,Click**The Simpsons Movie**,157500000.0,Julie Kavner,1.43047619048
Dave Holmes,8785.0,-2495607.5,1,Hell Baby**,2500000.0,Dave Holmes,-0.998243
Werner Herzog,218693813.0,41146906.5,2,Mr. Lonely**Jack Reacher**,68200000.0,Werner Herzog,0.60332707478
Omar Benson Miller,441100000.0,-64450000.0,4,Shall We Dance?**Get Rich or Die Tryin'**Miracle at St. Anna**The Sorcerer's Apprentice**,285000000.0,Omar Benson Miller,-0.226140350877
Sergio Castellitto,419700000.0,-15150000.0,1,The Chronicles of Narnia: Prince Caspian**,225000000.0,Sergio Castellitto,-0.0673333333333
Sho Kosugi,61600000.0,-9200000.0,1,Ninja Assassin**,40000000.0,Sho Kosugi,-0.23
Tia MowryHardrict,22456509.0,2728254.5,1,Baggage Claim**,8500000.0,Tia MowryHardrict,0.320971117647
Matthew Bomer,173900000.0,46950000.0,1,In Time**,40000000.0,Matthew Bomer,1.17375
Oona Chaplin,64944815.0,-1527592.5,1,The Longest Ride**,34000000.0,Oona Chaplin,-0.0449291911765
John Cho,1736700000.0,133100000.0,9,Better Luck Tomorrow**Harold & Kumar Go to White Castle**Harold & Kumar Escape from Guantanamo Bay**Star Trek**A Very Harold & Kumar 3D Christmas**American Reunion**Total Recall**Star Trek Into Darkness**Star Trek Beyond**,735250000.0,John Cho,0.181026861612
Bob Sapp,48800000.0,-65600000.0,1,Conan the Barbarian**,90000000.0,Bob Sapp,-0.728888888889
Brian Bosworth,14400000.0,4900000.0,1,Do You Believe?**,2300000.0,Brian Bosworth,2.13043478261
Jonah Hill,3587131520.0,479565760.0,21,"Accepted**Evan Almighty**Superbad**Strange Wilderness**Funny People**The Invention of Lying**Cyrus**Get Him to the Greek**How to Train Your Dragon**Megamind**Moneyball**The Sitter**21 Jump Street**The Watch**This Is the End**The Wolf of Wall Street**22 Jump Street**How to Train Your Dragon 2**Hail, Caesar!**Sausage Party**War Dogs**",1314000000.0,Jonah Hill,0.364966331811
Shigeru Izumiya,12000000.0,-13500000.0,1,Godzilla: Final Wars**,19500000.0,Shigeru Izumiya,-0.692307692308
Peter Bartlett,267000000.0,28500000.0,1,The Princess and the Frog**,105000000.0,Peter Bartlett,0.271428571429
Busta Rhymes,130249764.0,2624882.0,3,Finding Forrester**Halloween: Resurrection**Narc**,62500000.0,Busta Rhymes,0.041998112
Neil Flynn,8224998.0,-10887501.0,1,Hoot**,15000000.0,Neil Flynn,-0.7258334
Riley Griffiths,260100000.0,80050000.0,1,Super 8**,50000000.0,Riley Griffiths,1.601
Rafi Gavron,62450361.0,-28774819.5,1,Inkheart**,60000000.0,Rafi Gavron,-0.479580325
Bobby Campo,186200000.0,53100000.0,1,The Final Destination**,40000000.0,Bobby Campo,1.3275
Michael Constantine,457600000.0,205800000.0,2,My Big Fat Greek Wedding**My Big Fat Greek Wedding 2**,23000000.0,Michael Constantine,8.94782608696
Dagmara Domiczyk,844330.0,-1377835.0,1,Higher Ground**,1800000.0,Dagmara Domiczyk,-0.765463888889
Anne Bancroft,118572248.0,-44713876.0,3,Keeping the Faith**Heartbreakers**Delgo**,104000000.0,Anne Bancroft,-0.429941115385
Alex Garfin,246200000.0,24100000.0,1,The Peanuts Movie**,99000000.0,Alex Garfin,0.243434343434
Scott Patrick Green,4500000.0,-750000.0,1,Paranoid Park**,3000000.0,Scott Patrick Green,-0.25
Breckin Meyer,785419048.0,87609524.0,7,Road Trip**Kate & Leopold**Rat Race**Garfield: The Movie**Herbie: Fully Loaded**Rebound**Garfield: A Tail of Two Kitties**,305100000.0,Breckin Meyer,0.287150193379
Rasha Bukvi,304700000.0,60350000.0,1,A Good Day to Die Hard**,92000000.0,Rasha Bukvi,0.65597826087
Anna Paquin,2462041222.0,293420611.0,15,Almost Famous**Finding Forrester**X-Men**Buffalo Soldiers**25th Hour**Darkness**X2**The Squid and the Whale**X-Men: The Last Stand**Trick 'r Treat**The Romantics**Margaret**Straight A's**X-Men: Days of Future Past**The Good Dinosaur**,937600000.0,Anna Paquin,0.312948603882
