,name,title_clean,revenues_clean,gross_profit
636,Alejandro Gonzlez Irritu,21 Grams,60400000.0,10200000.0
1325,Alejandro Gonzlez Irritu,Babel,135300000.0,42650000.0
1511,Tobe Hooper,Poltergeist,121700000.0,50150000.0
1512,Tobe Hooper,Poltergeist,121700000.0,50150000.0
3287,Dave Green,Earth to Echo,45300000.0,9650000.0
3558,Dave Green,Teenage Mutant Ninja Turtles: Out of the Shadows,245600000.0,-12200000.0
58,Paul Satterfield,Fantasia,76400000.0,35920000.0
1136,Liev Schreiber,Everything Is Illuminated,3601974.0,-5199013.0
2870,John Gulager,Piranha 3DD,8500000.0,-750000.0
641,Shari Springer Berman,American Splendor,7986084.0,1993042.0
1747,Shari Springer Berman,The Nanny Diaries,47738099.0,3869049.5
2338,Shari Springer Berman,The Extra Man,457867.0,-6771066.5
1118,Walter Salles,Dark Water,49483352.0,-5258324.0
1385,Stefen Fangmeier,Eragon,249500000.0,24750000.0
2715,Stephen J Anderson,Winnie the Pooh,50100000.0,-4950000.0
117,F Gary Gray,Friday,27500000.0,10250000.0
738,F Gary Gray,The Italian Job,176100000.0,28050000.0
757,F Gary Gray,A Man Apart,44350926.0,-13824537.0
1091,F Gary Gray,Be Cool,95200000.0,-5400000.0
2169,F Gary Gray,Law Abiding Citizen,126700000.0,10350000.0
1742,Bruce A Evans,Mr. Brooks,48100000.0,4050000.0
2021,Catherine Owens,U2 3D,26200000.0,-1900000.0
309,Brian Koppelman,Knockaround Guys,14069721.0,-7965139.5
2463,Brian Koppelman,Solitary Man,5024782.0,-12487609.0
1113,Francis Lawrence,Constantine,230900000.0,15450000.0
1698,Francis Lawrence,I Am Legend,585300000.0,142650000.0
2710,Francis Lawrence,Water for Elephants,117100000.0,20550000.0
3055,Francis Lawrence,The Hunger Games: Catching Fire,865000000.0,302500000.0
3056,Francis Lawrence,The Hunger Games: Catching Fire,865000000.0,302500000.0
900,Paul Haggis,Crash,98400000.0,42700000.0
1706,Paul Haggis,In the Valley of Elah,29500000.0,-8250000.0
2421,Paul Haggis,The Next Three Days,67400000.0,3700000.0
1146,Henry Hathaway,The Sons of Katie Elder,23000000.0,5000000.0
2064,Werner Herzog,Bad Lieutenant: Port of Call New Orleans,10600000.0,-19700000.0
904,George A Romero,Dawn of the Dead,55000000.0,26000000.0
1200,George A Romero,Land of the Dead,46800000.0,8400000.0
1201,George A Romero,Day of the Dead,34000000.0,13500000.0
1202,George A Romero,Diary of the Dead,5300000.0,650000.0
1490,George A Romero,Night of the Living Dead,30000000.0,14886000.0
1491,George A Romero,Night of the Living Dead,30000000.0,14886000.0
2312,George A Romero,The Crazies,143784.0,-203108.0
2520,Paul Johansson,Atlas Shrugged: Part I,4627375.0,-17686312.5
2521,Paul Johansson,Atlas Shrugged: Part I,4627375.0,-17686312.5
1210,Robert Aldrich,The Longest Yard,43008075.0,18604037.5
3492,Trevor Wall,Norm of the North,27400000.0,-4300000.0
210,Lee Tamahori,Along Came a Spider,105200000.0,-7400000.0
1302,Lee Tamahori,xXx: State of the Union,71100000.0,-24450000.0
1351,Lee Tamahori,Die Another Day,435000000.0,72500000.0
2554,Lee Tamahori,The Devil's Double,4800000.0,-16700000.0
2618,Gary McKendry,Killer Elite,56300000.0,-41850000.0
2277,Ruben Fleischer,Zombieland,102400000.0,27600000.0
2506,Ruben Fleischer,30 Minutes or Less,40500000.0,-7750000.0
3025,Ruben Fleischer,Gangster Squad,105200000.0,-22400000.0
2738,John Putch,Atlas Shrugged: Part II,3336053.0,-8331973.5
2739,John Putch,Atlas Shrugged: Part II,3336053.0,-8331973.5
