,total_rev,total_profit,count,title_names,total_budget,name,return
Alejandro Gonzlez Irritu,195700000.0,52850000.0,2,21 Grams**Babel**,45000000.0,Alejandro Gonzlez Irritu,1.17444444444
Tobe Hooper,121700000.0,50150000.0,1,Poltergeist**,10700000.0,Tobe Hooper,4.68691588785
Paul Satterfield,76400000.0,35920000.0,1,Fantasia**,2280000.0,Paul Satterfield,15.7543859649
Liev Schreiber,3601974.0,-5199013.0,1,Everything Is Illuminated**,7000000.0,Liev Schreiber,-0.742716142857
John Gulager,8500000.0,-750000.0,1,Piranha 3DD**,5000000.0,John Gulager,-0.15
George Cukor,2270000.0,-553000.0,1,The Women**,1688000.0,George Cukor,-0.327606635071
Walter Salles,49483352.0,-5258324.0,1,Dark Water**,30000000.0,Walter Salles,-0.175277466667
Stefen Fangmeier,249500000.0,24750000.0,1,Eragon**,100000000.0,Stefen Fangmeier,0.2475
Stephen J Anderson,50100000.0,-4950000.0,1,Winnie the Pooh**,30000000.0,Stephen J Anderson,-0.165
F Gary Gray,469850926.0,29425463.0,5,Friday**The Italian Job**A Man Apart**Be Cool**Law Abiding Citizen**,205500000.0,F Gary Gray,0.143189600973
Bruce A Evans,48100000.0,4050000.0,1,Mr. Brooks**,20000000.0,Bruce A Evans,0.2025
Catherine Owens,26200000.0,-1900000.0,1,U2 3D**,15000000.0,Catherine Owens,-0.126666666667
Francis Lawrence,1798300000.0,481150000.0,4,Constantine**I Am Legend**Water for Elephants**The Hunger Games: Catching Fire**,418000000.0,Francis Lawrence,1.15107655502
Paul Haggis,195300000.0,38150000.0,3,Crash**In the Valley of Elah**The Next Three Days**,59500000.0,Paul Haggis,0.641176470588
Henry Hathaway,23000000.0,5000000.0,1,The Sons of Katie Elder**,6500000.0,Henry Hathaway,0.769230769231
Werner Herzog,10600000.0,-19700000.0,1,Bad Lieutenant: Port of Call New Orleans**,25000000.0,Werner Herzog,-0.788
George A Romero,171243784.0,63232892.0,6,Dawn of the Dead**Land of the Dead**Day of the Dead**Diary of the Dead**Night of the Living Dead**The Crazies**,22389000.0,George A Romero,2.82428388941
Paul Johansson,4627375.0,-17686312.5,1,Atlas Shrugged: Part I**,20000000.0,Paul Johansson,-0.884315625
