,title_clean,profit_class,revenues_clean,gross_profit,return,costs_clean,release_date,release_week,length_clean,main_topic,site,number_topic
0,102 Dalmatians,1.0,183600000.0,6800000.0,0.08,85000000.0,2000-11-22,47.0,100,lda_topic_497,https://en.wikipedia.org/wiki/102_Dalmatians,50
1,101 Dalmatians,1.0,320600000.0,85300000.0,1.13733333333,75000000.0,1996-11-27,48.0,103,lda_topic_93,https://en.wikipedia.org/wiki/101_Dalmatians_(1996_film),59
2,28 Days,0.0,62200000.0,-11900000.0,-0.276744186047,43000000.0,2000-04-14,15.0,104,lda_topic_497,https://en.wikipedia.org/wiki/28_Days_(film),50
3,3 Strikes,1.0,9800000.0,1500000.0,0.441176470588,3400000.0,2000-03-01,9.0,82,lda_topic_435,https://en.wikipedia.org/wiki/3_Strikes_(film),41
4,The 6th Day,0.0,96100000.0,-33950000.0,-0.414024390244,82000000.0,2000-11-17,46.0,124,lda_topic_497,https://en.wikipedia.org/wiki/The_6th_Day,50
5,The Adventures of Rocky and Bullwinkle,0.0,35100000.0,-58450000.0,-0.769078947368,76000000.0,2000-06-30,26.0,921,lda_topic_77,https://en.wikipedia.org/wiki/The_Adventures_of_Rocky_and_Bullwinkle,55
6,All the Pretty Horses,0.0,18100000.0,-47950000.0,-0.841228070175,57000000.0,2000-12-25,52.0,117.0,lda_topic_391,https://en.wikipedia.org/wiki/All_the_Pretty_Horses_(film),32
7,Almost Famous,0.0,47400000.0,-36300000.0,-0.605,60000000.0,,,122,lda_topic_497,https://en.wikipedia.org/wiki/Almost_Famous,50
8,American Psycho,1.0,34300000.0,10150000.0,1.45,7000000.0,2000-04-14,15.0,101.0,lda_topic_317,https://en.wikipedia.org/wiki/American_Psycho_(film),20
9,Animal Factory,,43805.0,,,,2000-10-13,41.0,941,lda_topic_497,https://en.wikipedia.org/wiki/Animal_Factory,50
10,The Art of War,0.0,40400000.0,-39800000.0,-0.663333333333,60000000.0,2000-08-25,34.0,117,lda_topic_497,https://en.wikipedia.org/wiki/The_Art_of_War_(film),50
11,Autumn in New York,0.0,90700000.0,-19650000.0,-0.302307692308,65000000.0,2000-08-11,32.0,103,lda_topic_497,https://en.wikipedia.org/wiki/Autumn_in_New_York_(film),50
12,Bait,0.0,15471969.0,-43264015.5,-0.848314029412,51000000.0,,,119,lda_topic_497,https://en.wikipedia.org/wiki/Bait_(2000_film),50
13,Bamboozled,0.0,2463650.0,-8768175.0,-0.8768175,10000000.0,2000-10-06,40.0,135,lda_topic_497,https://en.wikipedia.org/wiki/Bamboozled,50
14,Battlefield Earth,0.0,29700000.0,-58150000.0,-0.796575342466,73000000.0,2000-05-12,19.0,117.0,lda_topic_497,https://en.wikipedia.org/wiki/Battlefield_Earth_(film),50
15,The Beach,1.0,144100000.0,22050000.0,0.441,50000000.0,2000-02-11,6.0,115,lda_topic_481,https://en.wikipedia.org/wiki/The_Beach_(film),46
16,Beautiful,0.0,3200000.0,-12400000.0,-0.885714285714,14000000.0,2000-09-29,39.0,112,lda_topic_68,https://en.wikipedia.org/wiki/Beautiful_(2000_film),53
17,Bedazzled,0.0,90383208.0,-2808396.0,-0.05850825,48000000.0,2000-10-20,42.0,93,lda_topic_68,https://en.wikipedia.org/wiki/Bedazzled_(2000_film),53
19,Before Night Falls,,8527517.0,,,,2001-01-26,4.0,133,lda_topic_68,https://en.wikipedia.org/wiki/Before_Night_Falls_(film),53
20,Best in Show,1.0,20800000.0,400000.0,0.04,10000000.0,,,90,lda_topic_68,https://en.wikipedia.org/wiki/Best_in_Show_(film),53
21,Big Momma's House,1.0,173959438.0,56979719.0,1.89932396667,30000000.0,2000-06-02,22.0,98,lda_topic_38,https://en.wikipedia.org/wiki/Big_Momma%27s_House,30
23,Bless the Child,0.0,40443010.0,-44778495.0,-0.688899923077,65000000.0,2000-08-11,32.0,107,lda_topic_497,https://en.wikipedia.org/wiki/Bless_the_Child,50
24,Boiler Room,1.0,28780255.0,7390127.5,1.0557325,7000000.0,2000-02-18,7.0,120.0,lda_topic_378,https://en.wikipedia.org/wiki/Boiler_Room_(film),29
25,,1.0,47700000.0,8850000.0,0.59,15000000.0,2000-10-27,43.0,901,lda_topic_497,https://en.wikipedia.org/wiki/Book_of_Shadows:_Blair_Witch_2,50
26,The Blair Witch Project,1.0,248600000.0,124240000.0,2070.66666667,60000.0,1999-07-14,28.0,811,lda_topic_332,https://en.wikipedia.org/wiki/The_Blair_Witch_Project,23
27,Bounce,0.0,53425292.0,-8287354.0,-0.236781542857,35000000.0,2000-11-17,46.0,106,lda_topic_330,https://en.wikipedia.org/wiki/Bounce_(film),22
28,Boys and Girls,0.0,25850615.0,-22074692.5,-0.6307055,35000000.0,,,94,lda_topic_68,https://en.wikipedia.org/wiki/Boys_and_Girls_(2000_film),53
29,Bring It On,1.0,90400000.0,34200000.0,3.10909090909,11000000.0,2000-08-25,34.0,99,lda_topic_109,https://en.wikipedia.org/wiki/Bring_It_On_(film),2
30,The Broken Hearts Club: A Romantic Comedy,1.0,2019121.0,9560.5,0.0095605,1000000.0,2000-09-29,39.0,94,lda_topic_68,https://en.wikipedia.org/wiki/The_Broken_Hearts_Club:_A_Romantic_Comedy,53
31,Brother,,15200000.0,,,,2001-07-20,29.0,114,lda_topic_497,https://en.wikipedia.org/wiki/Brother_(2000_film),50
32,Cast Away,1.0,429600000.0,124800000.0,1.38666666667,90000000.0,2000-12-22,51.0,143,lda_topic_77,https://en.wikipedia.org/wiki/Cast_Away,55
33,Cecil B. Demented,0.0,2000000.0,-9000000.0,-0.9,10000000.0,2000-08-11,32.0,881,lda_topic_356,https://en.wikipedia.org/wiki/Cecil_B._Demented,26
34,The Cell,1.0,104155843.0,19077921.5,0.578118833333,33000000.0,2000-08-18,33.0,107,lda_topic_68,https://en.wikipedia.org/wiki/The_Cell,53
35,Center Stage,0.0,26385941.0,-4807029.5,-0.267057194444,18000000.0,2000-05-12,19.0,111,lda_topic_497,https://en.wikipedia.org/wiki/Center_Stage_(2000_film),50
36,Charlie's Angels,1.0,264100000.0,42050000.0,0.467222222222,90000000.0,2000-11-03,44.0,981,lda_topic_68,https://en.wikipedia.org/wiki/Charlie%27s_Angels_(film),53
38,Chocolat,1.0,152699946.0,51349973.0,2.05399892,25000000.0,2000-12-15,50.0,121,lda_topic_497,https://en.wikipedia.org/wiki/Chocolat_(2000_film),50
39,Chuck & Buck,1.0,1182065.0,341032.5,1.36413,250000.0,2000-07-14,28.0,96,lda_topic_497,https://en.wikipedia.org/wiki/Chuck_%26_Buck,50
40,The Contender,0.0,22361811.0,-8819094.5,-0.440954725,20000000.0,2000-10-13,41.0,126,lda_topic_68,https://en.wikipedia.org/wiki/The_Contender_(2000_film),53
41,Coyote Ugly,1.0,113900000.0,11950000.0,0.265555555556,45000000.0,2000-08-04,31.0,101.0,lda_topic_68,https://en.wikipedia.org/wiki/Coyote_Ugly_(film),53
42,The Crew,0.0,13100000.0,-31450000.0,-0.827631578947,38000000.0,2000-08-25,34.0,87,lda_topic_497,https://en.wikipedia.org/wiki/The_Crew_(2000_film),50
43,Digimon: The Movie,1.0,16600000.0,3300000.0,0.66,5000000.0,2000-10-06,40.0,88,lda_topic_77,https://en.wikipedia.org/wiki/Digimon:_The_Movie,55
44,Dinosaur,1.0,349800000.0,47400000.0,0.371764705882,127500000.0,2000-10-13,41.0,821,lda_topic_77,https://en.wikipedia.org/wiki/Dinosaur_(film),55
45,Down to You,0.0,24400000.0,-22800000.0,-0.651428571429,35000000.0,2000-01-21,3.0,92,lda_topic_68,https://en.wikipedia.org/wiki/Down_to_You,53
46,Dr. T & The Women,0.0,22844291.0,-11577854.5,-0.503384978261,23000000.0,2000-10-13,41.0,122,lda_topic_68,https://en.wikipedia.org/wiki/Dr._T_%26_the_Women,53
47,Dracula 2000,0.0,47100000.0,-30450000.0,-0.563888888889,54000000.0,2000-12-22,51.0,993,lda_topic_391,https://en.wikipedia.org/wiki/Dracula_2000,32
48,Drowning Mona,0.0,15900000.0,-29050000.0,-0.785135135135,37000000.0,2000-03-03,9.0,96,lda_topic_490,https://en.wikipedia.org/wiki/Drowning_Mona,48
49,"Dude, Where's My Car?",1.0,73200000.0,23600000.0,1.81538461538,13000000.0,2000-12-15,50.0,82,lda_topic_77,"https://en.wikipedia.org/wiki/Dude,_Where%27s_My_Car%3F",55
50,Duets,0.0,4739023.0,-13630488.5,-0.85190553125,16000000.0,2000-09-09,36.0,112,lda_topic_68,https://en.wikipedia.org/wiki/Duets_(film),53
