,title_clean,site,revenues_clean,costs_clean,gross_profit,return,profit_class,release_date
0,102 Dalmatians,https://en.wikipedia.org/wiki/102_Dalmatians,183600000.0,85000000.0,6800000.0,0.08,1.0,2000-11-22
1,101 Dalmatians,https://en.wikipedia.org/wiki/101_Dalmatians_(1996_film),320600000.0,75000000.0,85300000.0,1.13733333333,1.0,1996-11-27
2,28 Days,https://en.wikipedia.org/wiki/28_Days_(film),62200000.0,43000000.0,-11900000.0,-0.276744186047,0.0,2000-04-14
3,3 Strikes,https://en.wikipedia.org/wiki/3_Strikes_(film),9800000.0,3400000.0,1500000.0,0.441176470588,1.0,2000-03-01
4,The 6th Day,https://en.wikipedia.org/wiki/The_6th_Day,96100000.0,82000000.0,-33950000.0,-0.414024390244,0.0,2000-11-17
5,The Adventures of Rocky and Bullwinkle,https://en.wikipedia.org/wiki/The_Adventures_of_Rocky_and_Bullwinkle,35100000.0,76000000.0,-58450000.0,-0.769078947368,0.0,2000-06-30
6,All the Pretty Horses,https://en.wikipedia.org/wiki/All_the_Pretty_Horses_(film),18100000.0,57000000.0,-47950000.0,-0.841228070175,0.0,2000-12-25
8,American Psycho,https://en.wikipedia.org/wiki/American_Psycho_(film),34300000.0,7000000.0,10150000.0,1.45,1.0,2000-04-14
10,The Art of War,https://en.wikipedia.org/wiki/The_Art_of_War_(film),40400000.0,60000000.0,-39800000.0,-0.663333333333,0.0,2000-08-25
11,Autumn in New York,https://en.wikipedia.org/wiki/Autumn_in_New_York_(film),90700000.0,65000000.0,-19650000.0,-0.302307692308,0.0,2000-08-11
13,Bamboozled,https://en.wikipedia.org/wiki/Bamboozled,2463650.0,10000000.0,-8768175.0,-0.8768175,0.0,2000-10-06
14,Battlefield Earth,https://en.wikipedia.org/wiki/Battlefield_Earth_(film),29700000.0,73000000.0,-58150000.0,-0.796575342466,0.0,2000-05-12
15,The Beach,https://en.wikipedia.org/wiki/The_Beach_(film),144100000.0,50000000.0,22050000.0,0.441,1.0,2000-02-11
16,Beautiful,https://en.wikipedia.org/wiki/Beautiful_(2000_film),3200000.0,14000000.0,-12400000.0,-0.885714285714,0.0,2000-09-29
17,Bedazzled,https://en.wikipedia.org/wiki/Bedazzled_(2000_film),90383208.0,48000000.0,-2808396.0,-0.05850825,0.0,2000-10-20
21,Big Momma's House,https://en.wikipedia.org/wiki/Big_Momma%27s_House,173959438.0,30000000.0,56979719.0,1.89932396667,1.0,2000-06-02
23,Bless the Child,https://en.wikipedia.org/wiki/Bless_the_Child,40443010.0,65000000.0,-44778495.0,-0.688899923077,0.0,2000-08-11
24,Boiler Room,https://en.wikipedia.org/wiki/Boiler_Room_(film),28780255.0,7000000.0,7390127.5,1.0557325,1.0,2000-02-18
